h,0 progresywna trzypunktowa,0 progresywna dwupunktowa,$\dfrac{\pi}{4}$ wsteczna trzypunktowa,$\dfrac{\pi}{4}$ wsteczna dwupunktowa,$\dfrac{\pi}{4}$ centralna dwupunktowa,$\dfrac{\pi}{4}$ progresywna dwupunktowa,$\dfrac{\pi}{4}$ progresywna trzypunktowa,$\dfrac{\pi}{2}$ wsteczna trzypunktowa,$\dfrac{\pi}{2}$ wsteczna dwupunktowa
9.40455e-11,0,0,6.53602e-07,6.53602e-07,6.33438e-08,5.26915e-07,1.11717e-06,6.12303e-17,6.12303e-17
7.83712e-11,0,0,6.53602e-07,6.53602e-07,5.47079e-08,7.63018e-07,1.47133e-06,6.12303e-17,6.12303e-17
6.53094e-11,0,0,1.22025e-06,1.22025e-06,3.70278e-07,4.79694e-07,1.32967e-06,6.12303e-17,6.12303e-17
5.44245e-11,0,0,5.40273e-07,5.40273e-07,4.79694e-07,1.49966e-06,2.51963e-06,6.12303e-17,6.12303e-17
4.53537e-11,0,0,5.40273e-07,5.40273e-07,6.83687e-07,1.90765e-06,3.13161e-06,6.12303e-17,6.12303e-17
3.77948e-11,0,0,2.49861e-06,2.49861e-06,1.02986e-06,4.38895e-07,4.38895e-07,6.12303e-17,6.12303e-17
3.14956e-11,0,0,4.84861e-06,1.32361e-06,4.38895e-07,2.2014e-06,2.2014e-06,6.12303e-17,6.12303e-17
2.62464e-11,0,0,2.02861e-06,2.02861e-06,8.63949e-08,2.2014e-06,4.3164e-06,6.12303e-17,6.12303e-17
2.1872e-11,0,0,8.79662e-06,3.72061e-06,1.18261e-06,1.3554e-06,1.3554e-06,6.12303e-17,6.12303e-17
1.82266e-11,0,0,2.70541e-06,2.70541e-06,3.40195e-07,3.3858e-06,6.4314e-06,6.12303e-17,6.12303e-17
1.51889e-11,0,0,5.14189e-06,5.14189e-06,1.48717e-06,2.16756e-06,2.16756e-06,6.12303e-17,6.12303e-17
1.26574e-11,0,0,1.39132e-05,5.14189e-06,7.56222e-07,3.62945e-06,3.62945e-06,6.12303e-17,6.12303e-17
1.05478e-11,0,0,1.74218e-05,6.89616e-06,1.63336e-06,3.62945e-06,8.89225e-06,6.12303e-17,6.12303e-17
8.78986e-12,0,0,1.32115e-05,5.80796e-07,5.80796e-07,5.80796e-07,5.80796e-07,6.12303e-17,6.12303e-17
7.32488e-12,0,0,8.15923e-06,8.15923e-06,5.80796e-07,6.99764e-06,6.99764e-06,6.12303e-17,6.12303e-17
6.10407e-12,0,0,2.02847e-05,2.09648e-06,6.99764e-06,1.60918e-05,2.51859e-05,6.12303e-17,6.12303e-17
5.08672e-12,0,0,3.48353e-05,1.30094e-05,2.09648e-06,8.81647e-06,1.97294e-05,6.12303e-17,6.12303e-17
4.23894e-12,0,0,8.6107e-08,8.6107e-08,8.6107e-08,8.6107e-08,8.6107e-08,6.12303e-17,6.12303e-17
3.53245e-12,0,0,1.03903e-05,1.03903e-05,1.03903e-05,1.03903e-05,1.03903e-05,6.12303e-17,6.12303e-17
2.9437e-12,0,0,5.24683e-05,1.47531e-05,1.47531e-05,1.47531e-05,1.47531e-05,6.12303e-17,6.12303e-17
